label,id,scenario,yr_pub,yr_data,if_jrnl,if_refer,if_pe,if_ge,model,wct_total,wct_food,wct_price,wct_ghg,wct_land,wct_iluc,if_focus,if_corn,if_coarse,if_ddgs,if_iluc,if_fuel,p_oil,if_lvstk,if_response,if_conven,if_broad,if_tax,if_other,if_cornonly,q0_ethnl,q1_ethnl,dq_ethnl,dq_ethnl_pct,dp_corn,dp_corn_pct,p0_corn,wct_fl,wct_fg,wct_fd,wct_ems,wct_fvg,wct_fog,if_food,wct_fvg2,if_dec,dp_corn_d,dp_corn_pct_d,dpc_pct_avg,dq_ethnl_d,dqe_sq,dqe_d_sq,pcqe_e,pcqe_se,pcqe,max_id,wi,n_model,max_model,wm,y,mt,pcqe_se_wm,pcqe_se_wmsum,pcqe_se_wmt,pcqe_e_wm,pcqe_e_wmsum,pcqe_e_wmt,dp_corn_pct_dwm,dp_corn_pct_dwmsum,dp_corn_pct_d_wmt,pcqe_wm,pcqe_wmsum,pcqe_wmt,model_upper,model_lower
"Ferris,_John_(Jake);_Joshi,_Satish.Prospects_for_Ethanol_and_Biodiesel,_2008_to_2017_and_Impacts_on_Agriculture_and_Food_2010",85,3,2010,2013.5,0,1,1,0,AGMOD,7912,27,134,6,16,0,1,1,0,1,1,1,108,1,1,0,1,0,0,0,14.099523,16.156763,2.0572398,.14590847,.38076368,.10320137,3.6895213,1.6875,.2654196,.020348838,.0027805865,.017568251,7.318182,1,.00030864344,0,.38076368,.10320137,.10096385,2.0572398,4.2322354,4.2322354,.70730215,.050164972,.18508473,4,.25,1,4,.25,1,35,.012541243,1.4538637,.041538965,.17682554,13.568561,.38767317,.025800344,6.2011752,.17717643,.046271183,5.7900596,.16543028,2-PE,6-PE_other
"Ferris,_John_(Jake);_Joshi,_Satish.Prospects_for_Ethanol_and_Biodiesel,_2008_to_2017_and_Impacts_on_Agriculture_and_Food_2010",85,1,2010,2013.5,0,1,1,0,AGMOD,7912,27,134,6,16,0,1,1,0,1,1,1,54,1,1,0,1,0,0,0,14.099523,13.874316,-.22520667,-.015972644,-.1592654,-.043166954,3.6895213,1.6875,.2654196,.020348838,.0027805865,.017568251,7.318182,1,.00030864344,1,.1592654,.043166954,.10096385,.22520667,.050718047,.050718047,2.7025554,.19167706,.70719665,4,.25,2,4,.25,1,35,.047919266,1.4538637,.041538965,.67563885,13.568561,.38767317,.010791739,6.2011752,.17717643,.17679916,5.7900596,.16543028,2-PE,6-PE_other
"Ferris,_John_(Jake);_Joshi,_Satish.Prospects_for_Ethanol_and_Biodiesel,_2008_to_2017_and_Impacts_on_Agriculture_and_Food_2010",85,4,2010,2013.5,0,1,1,0,AGMOD,7912,27,134,6,16,0,1,1,0,1,1,1,148,1,1,0,1,0,0,0,14.099523,17.641409,3.5418868,.25120616,.86059195,.23325302,3.6895213,1.6875,.2654196,.020348838,.0027805865,.017568251,7.318182,1,.00030864344,0,.86059195,.23325302,.10096385,3.5418868,12.544962,12.544962,.92853224,.065855585,.24297556,4,.25,3,4,.25,1,35,.016463896,1.4538637,.041538965,.23213306,13.568561,.38767317,.058313254,6.2011752,.17717643,.060743891,5.7900596,.16543028,2-PE,6-PE_other
"Ferris,_John_(Jake);_Joshi,_Satish.Prospects_for_Ethanol_and_Biodiesel,_2008_to_2017_and_Impacts_on_Agriculture_and_Food_2010",85,2,2010,2013.5,0,1,1,0,AGMOD,7912,27,134,6,16,0,1,1,0,1,1,1,67,1,1,0,1,0,0,0,14.099523,13.874316,-.22520667,-.015972644,-.089412153,-.024234079,3.6895213,1.6875,.2654196,.020348838,.0027805865,.017568251,7.318182,1,.00030864344,1,.089412153,.024234079,.10096385,.22520667,.050718047,.050718047,1.517224,.10760818,.39702266,4,.25,4,4,.25,1,35,.026902044,1.4538637,.041538965,.37930599,13.568561,.38767317,.0060585197,6.2011752,.17717643,.099255666,5.7900596,.16543028,2-PE,6-PE_other
"Adusumilli,_Naveen;_Taylor,_C._Robert;_Lacewell,_Ronald;_Rister,_M._Edward.Aggregate_Economic_Implications_of_National_Cellulosic_Biofuel_Goals1_2013",3,2,2013,2022,0,0,1,0,AGSIM,2304,16,18,0,17,0,1,1,0,0,1,0,,0,1,0,1,0,0,0,0,16,16,,.7992,.23999999,3.3299999,.94117647,.69444442,.014756944,.007378472,.007378472,2,1,.000054441851,0,.7992,.23999999,.22,16,256,256,,.015,.04995,2,.5,1,2,.5,2,35,.0074999998,1.4538637,.041538965,,13.568561,.38767317,.12,6.2011752,.17717643,.024975,5.7900596,.16543028,2-PE,6-PE_other
"Adusumilli,_Naveen;_Taylor,_C._Robert;_Lacewell,_Ronald;_Rister,_M._Edward.Aggregate_Economic_Implications_of_National_Cellulosic_Biofuel_Goals1_2013",3,1,2013,2022,0,0,1,0,AGSIM,2304,16,18,0,17,0,1,1,0,0,1,0,,0,1,0,1,0,0,0,0,16,16,,.66600001,.2,3.3299999,.94117647,.69444442,.014756944,.007378472,.007378472,2,1,.000054441851,0,.66600001,.2,.22,16,256,256,,.0125,.041625001,2,.5,2,2,.5,2,35,.0062500001,1.4538637,.041538965,,13.568561,.38767317,.1,6.2011752,.17717643,.0208125,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,6,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,1,1,0,3.8833292,13.921867,10.038538,2.5850341,2.1451838,.52399999,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,2.1451838,.52399999,.37916666,10.038538,100.77225,100.77225,.20270525,.052198835,.21369484,6,.16666667,1,19,.052631579,3,35,.0027473071,1.4538637,.041538965,.010668698,13.568561,.38767317,.027578946,6.2011752,.17717643,.011247097,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri.Alternative_transportation_fuel_standards:_Welfare_effects_and_climate_benefits_2014",65,3,2014,2018.5,1,1,1,0,BEPAM,3074,92,89,107,144,9,0,1,0,1,1,1,,1,1,0,0,0,1,0,4.8208332,3.4333334,-1.3875,-.28781331,.66545737,.17,3.9144552,.60130721,-.48796356,.058880936,.084580354,-.025699418,.69615382,0,.00066046009,1,-.66545737,-.17,.073333338,1.3875,1.9251564,1.9251564,-.59066069,-.12252252,-.47960889,3,.33333334,2,19,.052631579,3,35,-.0064485534,1.4538637,.041538965,-.031087404,13.568561,.38767317,-.0089473687,6.2011752,.17717643,-.025242573,5.7900596,.16543028,2-PE,6-PE_other
"Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri;_Chen,_Xiaoguang.Stacking_low_carbon_policies_on_the_renewable_fuels_standard:_Economic_and_greenhouse_gas_implications_2013",100,2,2013,2035,1,1,1,0,BEPAM,10737,28,198,77,41,16,1,1,0,1,1,1,,1,1,0,1,0,1,0,5.2834411,1.8756216,-3.4078195,-.64499998,.22861062,.071965456,3.1766715,.49122807,-.45636582,.02104871,.012480209,.0085685011,1.6865672,1,.000073419214,1,-.22861062,-.071965456,.081907354,3.4078195,11.613234,11.613234,-.11157435,-.021117743,-.067084134,3,.33333334,3,19,.052631579,3,35,-.0011114602,1.4538637,.041538965,-.0058723344,13.568561,.38767317,-.0037876556,6.2011752,.17717643,-.003530744,5.7900596,.16543028,2-PE,6-PE_other
"Wang,_Weiwei;Madhu_Khanna;_Puneet_Dwivedi.Optimal_Mix_of_Feedstock_for_Biofuels:_Implications_for_Land_Use_and_GHG_Emissions_2013",185,1,2013,2035,0,0,1,0,BEPAM,4293,9,24,14,85,0,0,1,0,0,1,1,,1,1,0,1,0,0,0,4.0418324,15.004972,10.96314,2.7124183,2.1591003,.2361111,9.1444244,.10588235,-.11646867,.0076869321,.023060797,-.015373865,.33333331,0,.00023635573,0,2.1591003,.2361111,.2361111,10.96314,120.19045,120.19045,.087048188,.021536812,.19694176,1,1,4,19,.052631579,3,35,.0011335164,1.4538637,.041538965,.0045814835,13.568561,.38767317,.012426901,6.2011752,.17717643,.010365356,5.7900596,.16543028,2-PE,6-PE_other
